date,od_600nm,replicate,carbon_source,strain,inducer_conc,elapsed_time_hr,temperature_C
2024-05-28,0.046,1,glucose,lacZ,1,0.0,37
2024-05-28,0.059,1,glucose,lacZ,1,0.45,37
2024-05-28,0.07,1,glucose,lacZ,1,0.7833333333333333,37
2024-05-28,0.104,1,glucose,lacZ,1,1.4833333333333334,37
2024-05-28,0.125,1,glucose,lacZ,1,1.8166666666666667,37
2024-05-28,0.144,1,glucose,lacZ,1,2.05,37
2024-05-28,0.167,1,glucose,lacZ,1,2.3333333333333335,37
2024-05-28,0.197,1,glucose,lacZ,1,2.6166666666666667,37
2024-05-28,0.254,1,glucose,lacZ,1,3.066666666666667,37
2024-05-28,0.303,1,glucose,lacZ,1,3.4,37
2024-05-28,0.38,1,glucose,lacZ,1,3.85,37
2024-05-28,0.415,1,glucose,lacZ,1,4.0,37
2024-05-28,0.041,2,glucose,lacZ,1,0.0,37
2024-05-28,0.053,2,glucose,lacZ,1,0.45,37
2024-05-28,0.063,2,glucose,lacZ,1,0.75,37
2024-05-28,0.095,2,glucose,lacZ,1,1.4666666666666666,37
2024-05-28,0.11,2,glucose,lacZ,1,1.8,37
2024-05-28,0.128,2,glucose,lacZ,1,2.033333333333333,37
2024-05-28,0.145,2,glucose,lacZ,1,2.316666666666667,37
2024-05-28,0.176,2,glucose,lacZ,1,2.6166666666666667,37
2024-05-28,0.219,2,glucose,lacZ,1,3.05,37
2024-05-28,0.263,2,glucose,lacZ,1,3.3833333333333333,37
2024-05-28,0.34,2,glucose,lacZ,1,3.85,37
2024-05-28,0.363,2,glucose,lacZ,1,3.9833333333333334,37
2024-05-28,0.4,2,glucose,lacZ,1,4.183333333333334,37
